Ref,Val,Package,PosX,PosY,Rot,Side
"TP3","GND","TestPoint_Pad_D1.0mm",85.550000,-101.600000,180.000000,bottom
"TP4","3V3","TestPoint_Pad_D1.0mm",85.550000,-97.381951,180.000000,bottom
"TP6","SCL","TestPoint_Pad_D1.0mm",86.600000,-107.950000,180.000000,bottom
"TP7","SDA","TestPoint_Pad_D1.0mm",84.500000,-107.350000,180.000000,bottom
"TP9","MISO","TestPoint_Pad_D1.0mm",86.950000,-74.350000,180.000000,bottom
"TP10","SCK","TestPoint_Pad_D1.0mm",88.900000,-75.050000,180.000000,bottom
"TP11","MOSI","TestPoint_Pad_D1.0mm",87.350000,-76.350000,180.000000,bottom
"TP12","AS_CS","TestPoint_Pad_D1.0mm",90.450000,-73.800000,180.000000,bottom
"TP13","EPD_CS","TestPoint_Pad_D1.0mm",110.775000,-104.850000,180.000000,bottom
"TP14","RES","TestPoint_Pad_D1.0mm",109.700000,-106.175000,180.000000,bottom
"TP15","D","TestPoint_Pad_D1.0mm",110.600000,-107.700000,180.000000,bottom
"TP17","AS_INT","TestPoint_Pad_D1.0mm",88.600000,-73.050000,180.000000,bottom
"U1","AS3935","MLPQ-16-1EP_4x4mm_P0.65mm_EP2.8x2.8mm",87.965000,-69.400000,-90.000000,bottom
"U2","USBLC6-2P6","SOT-666",101.600000,-119.400000,45.000000,bottom
"U3","TLV75533PDBV","SOT-23-5",92.850000,-119.241745,90.000000,bottom
"U4","ESP32-C6-MINI-1","ESP32-C6-MINI-1U",111.350000,-117.590000,90.000000,bottom
"U5","BQ25186DLHR","Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm_ThermalVias",87.450000,-125.460000,0.000000,bottom
"U6","SHT40-AD1B-R2","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",83.250000,-85.450000,90.000000,bottom
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",116.530000,-126.820000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",83.100000,-109.600000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",99.650000,-68.150000,0.000000,top
"SW2","BTN_LEFT","SW_SPST_SKQG_WithStem",90.000000,-115.000000,-90.000000,top
"SW3","BTN_RIGHT","SW_SPST_SKQG_WithStem",110.000000,-115.000000,-90.000000,top
"SW4","BTN_MODE","SW_SPST_SKQG_WithStem",100.000000,-115.000000,-90.000000,top
